isin;issuer;name;certificate_type_tags;memory_effect;phase;currency;industry;callable;strike_date;issue_date;rembursement_date;autocallable_date;capital_barrier;airbag;risk_level;coupon_amount;coupon_recurrence;coupon_next_ex_date;coupon_type;coupon_barrier;leverage;exchange_risk
DE000VG656A7;Vontobel;Memory Express Certificate on Delivery Hero (DHER.DE), Zalando (ZAL.DE), and HelloFresh (HFG.DE);Memory Express, Yield Enhancement;Yes;Active;EUR;Consumer Discretionary / E-Commerce;Yes;2021-06-25;2021-06-29;2024-07-02;Quarterly;60%;No;High;8.50% p.a.;Quarterly;;Conditional;60%;None;No
DE000VH30021;Vontobel;Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance (ALV, CS, ZURN);Memory Express, Yield;Yes;Active;EUR;Financial Services / Insurance;Yes;2023-11-20;2023-11-20;2026-11-20;Quarterly starting 2024;60%;No;High;8.5% p.a.;Quarterly;;Conditional;60%;N/A;No
DE000VH68M19;Vontobel;Memory Express Certificate on Stellantis, STLA, ENI, ENI, Enel, ENEL;Memory Express, Autocallable;Yes;Active;EUR;Multi-Sector;Yes;2024-05-17;2024-05-24;2027-05-28;Quarterly starting 2025-05-26;60%;No;High;8.50% p.a.;Quarterly;;Conditional;60%;None;None
DE000VJ6U7J7;Vontobel;Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;Memory Express, Yield Enhancement;Yes;Active;EUR;Insurance;Yes;2024-06-25;2024-06-25;2029-07-02;Quarterly starting 2025-06-25;60%;No;High;8.50% p.a.;Quarterly;;Conditional;60%;N/A;No
DE000VK6PMC6;Vontobel;Vontobel Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;Express, Memory, Autocallable;Yes;Active;EUR;Financial Services / Insurance;Yes;2023-06-15;2023-06-20;2026-06-22;Annually;60%;No;Medium-High;8.50% p.a.;Annual;;Conditional;60%;N/A;None (EUR/EUR)
NLBNPIT2T027;BNP Paribas Issuance B.V.;Cash Collect Booster (Palantir, Tesla, NVIDIA);Cash Collect Booster;Yes;Open;EUR;Financial Services;Yes;2025-09-09;2025-09-05;2028-09-20;Not specified;Not specified;No;6;Not specified;Not specified;;Conditional;45% of Initial Reference Price;No;Yes
NLBNPIT302V1;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (UniCredit SpA, Intesa Sanpaolo SpA, BPER Banca SPA);Cash Collect Protection Booster;Yes;Not specified;EUR;Banking/Financial Services;Yes;19 March 2026;16 March 2026;28 March 2029;Yes, linked to observation dates;55% of Initial Reference Price;No;6/7;Variable conditioned;See attached document;;Conditional;55% of Initial Reference Price;No;Yes
NLBNPIT302Z2;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (ISP, SAN, GS, MS);Cash Collect, Protection Booster;Yes;Primary;EUR;Financial Services;Yes;19 March 2026;16 March 2026;28 March 2029;Dependent on underlying performance;60% of Initial Reference Price;No;5;Variable;Conditional;;Conditional;60% of Initial Reference Price;None;Yes
NLBNPIT30333;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (Enel, Leonardo, Snam, Moncler);Cash Collect, Protection Booster;Yes;Primary Market;EUR;Multi-industry;Yes;2026-03-19;2026-03-16;2029-03-28;Dependent on market performance;55%;No;5;Conditional (see documentation);Periodic;;Conditional;55%;None;Yes
NLBNPIT30341;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (UNI, G, SREN, SCR);Cash Collect Protection Booster;Yes;Primary Market;EUR;Multi-Asset;Yes;19/03/2026;16/03/2026;28/03/2029;Refer to attachment;60% of Initial Reference Price;No;5;Conditional and Certain coupons;Refer to attachment;;Conditional;60% of Initial Reference Price;None;Yes
NLBNPIT30358;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (A2A, Engie, Veolia, E.ON);Cash Collect Protection Booster;Yes;Primary;EUR;Multi-sector;Yes;2026-03-19;2026-03-16;2029-03-28;Various;60%;No;5;Variable;Periodic;;Conditional;60%;None;Yes
XS3236768365;BNP Paribas Issuance B.V.;10Y 100% Protection Cash Collect on Solactive BTP 10Y Index (SOITA10Y Index);Cash Collect, Protected;Yes;Open;EUR;Government Bonds;Yes;N/A;21 January 2026;21 January 2036;Annual starting 21 January 2027;100%;N/A;1;6.20%;Annual;;Conditional;4.10%;None;Yes
NLBNPIT303A3;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (NVIDIA, Intel, Tesla, Meta);Cash Collect Protection Booster;Yes;Primary market;EUR;Financial Services;Yes;19 March 2026;16 March 2026;28 March 2029;Various;50% of Initial Reference Price;No;6/7;Variable;Monthly/Periodic;;Conditional and Certain;50% of Initial Reference Price;None;Yes
NLBNPIT30309;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (BMPS, GLE, CABK, BBVA);Cash Collect Protection Booster;Yes;Primary Market;EUR;Financial Services;Yes, Autocallable;19 March 2026;16 March 2026;28 March 2029;Variable;50% of Initial Reference Price;No;6/7;Conditional and Certain coupons;Variable;;Conditional/Certain;50% of Initial Reference Price;No;Yes
CH1453354354;Leonteq Securities AG;8.00% p.a. Reverse Convertible in EUR on 0.5% France Govt (05/25/2072) (FR0014001NN8);Reverse Convertible, Swiss Uncertificated Security;No;Final;EUR;Government Bonds;No;29.05.2025;09.06.2025;09.06.2026;N/A;Not applicable;No;5/7;EUR 6.67;Monthly;;Fixed;Not applicable;No;Yes
NLBNPIT2EPT9;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down 95% (KER, RCL, BRBY);Cash Collect, Step Down;Yes;Primary Market;EUR;Multi-sector;Yes;2025-02-13;2025-02-14;2028-02-23;Not specified;50%;No;5;1.02% per month;Monthly;;Fixed/Conditional;50%;No;Yes
NLBNPIT2TQJ6;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down (BAMI, BPE, BMPS, FBK);Cash Collect Step Down;Yes;Active;EUR;Financial Services;Yes;2025-09-29;2025-09-22;2028-10-11;Refer to attachment;55%;No;6;1.40% of Notional Amount;Monthly;;Fixed/Conditional;55%;None;Yes
IT0006770512;Marex Financial;60m Wof Memory Phoenix Autocall on BNP Paribas SA, UniCredit SpA, Banco BPM SpA in EUR;Airbag, Autocallable, Low Strike, Multi Underlying;Yes;Active;EUR;Finance;Yes;10.09.2025;12.09.2025;19.09.2030;10.06.2026;50%;Yes;N/A;10.20% per annum (8.50 EUR monthly);Monthly;;Memory Phoenix;50%;N/A;No
IT0006772062;Marex Financial;48m Wof Memory Phoenix Autocall on Banco BPM SpA, Societe Generale SA, Banca Monte dei Paschi di Sien, Commerzbank AG in EUR;Airbag, Autocallable, Low Strike, Multi Underlying;Yes;Active;EUR;Banking;Yes;01.12.2025;01.12.2025;12.12.2029;01.06.2026;40%;Yes;N/A;10.20% p.a.;Monthly;;Memory Phoenix;60%;N/A;None
IT0006772583;Marex Financial;12m Wof Memory Phoenix Autocall on Tesla Inc (TSLA), Intel Corp (INTC), Micron Technology Inc (MU), Oracle Corp (ORCL) in EUR;Autocallable, Multi Underlying;Yes;Active;EUR;N/A;Yes;02.01.2026;06.01.2026;13.01.2027;02.04.2026;60%;No;N/A;28.01 EUR;Mensile;;Memory Phoenix;60%;No;Yes
IT0006771148;Marex Financial;IT0006771148;Investment Certificate;Not Specified;Publicly available;EUR;Finance;No;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;High;Not Available;Not Available;;Not Available;Not Available;Not Available;Applicable
IT0006771353;Marex Financial;IT0006771353;Not specified;Not specified;Not specified;Not specified;Not specified;Not specified;Not specified;Not specified;Not specified;Not specified;Not specified;Not specified;Not specified;Not specified;Not specified;;Not specified;Not specified;Not specified;Not specified
IT0006767823;Marex Financial;The provided information does not contain specific name details for certificate IT0006767823;Not specified in provided text;Not specified in provided text;Not specified in provided text;Not specified in provided text;Not specified in provided text;Not specified in provided text;Not specified in provided text;Not specified in provided text;Not specified in provided text;Not specified in provided text;Not specified in provided text;Not specified in provided text;Not specified in provided text;Not specified in provided text;Not specified in provided text;;Not specified in provided text;Not specified in provided text;Not specified in provided text;Not specified in provided text
