isin,name,ask,bid,currency,dt
NLBNPIT303P1,BP PLC TotalEnergies Equinor Repsol,100.34,0.00,EUR,2026-04-22-09-28-09
NLBNPIT303N6,Coherent Leonardo Rheinmetall,100.36,0.00,EUR,2026-04-22-09-28-09
NLBNPIT303C9,Unicredit Intesa Sanpaolo Banco BPM,99.29,0.00,EUR,2026-04-22-09-28-09
NLBNPIT303O4,Banca MPS Siemens Energy Stellantis STMicroelectronics,100.09,0.00,EUR,2026-04-22-09-28-09
NLBNPIT303S5,AMD Dell Meta,100.62,0.00,EUR,2026-04-22-09-28-09
NLBNPIT303E5,Banca MPS Santander,99.16,0.00,EUR,2026-04-22-09-28-09
NLBNPIT303G0,Banca MPS Banco BPM Bper Unicredit,98.47,0.00,EUR,2026-04-22-09-28-09
NLBNPIT303M8,Assicurazioni Generali Unipol Zurich Insurance Axa,100.26,0.00,EUR,2026-04-22-09-28-09
NLBNPIT303D7,Bper Intesa Sanpaolo,99.40,0.00,EUR,2026-04-22-09-28-09
NLBNPIT303I6,Allianz Assicurazioni Generali Intesa Sanpaolo Unicredit,99.70,0.00,EUR,2026-04-22-09-28-09
NLBNPIT303F2,Azimut Banca MPS Fineco Unicredit,99.15,0.00,EUR,2026-04-22-09-28-09
