isin,name,ask,bid,currency,dt
NLBNPIT21TB7,Step-Down Cash Collect Kla Corp C3.AI Uipath,56.78,0.00,EUR,2026-05-07-10-46-44
NLBNPIT303F2,Azimut Banca MPS Fineco Unicredit,100.62,0.00,EUR,2026-05-07-10-46-44
NLBNPIT30358,A2A Engie Veolia E.on,101.52,0.00,EUR,2026-05-07-10-46-44
NLBNPIT303M8,Assicurazioni Generali Unipol Zurich Insurance Axa,99.80,0.00,EUR,2026-05-07-10-46-44
NLBNPIT300H4,Stellantis,82.81,0.00,EUR,2026-05-07-10-46-44
NLBNPIT303G0,Banca MPS Banco BPM Bper Unicredit,100.96,0.00,EUR,2026-05-07-10-46-44
NLBNPIT303N6,Coherent Leonardo Rheinmetall,101.32,0.00,EUR,2026-05-07-10-46-44
NLBNPIT303C9,Unicredit Intesa Sanpaolo Banco BPM,100.85,0.00,EUR,2026-05-07-10-46-44
NLBNPIT303P1,BP PLC TotalEnergies Equinor Repsol,100.54,0.00,EUR,2026-05-07-10-46-44
NLBNPIT303O4,Banca MPS Siemens Energy Stellantis STMicroelectronics,101.95,0.00,EUR,2026-05-07-10-46-44
NLBNPIT300T9,Tesla Step-Down Cash Collect,98.21,0.00,EUR,2026-05-07-10-46-44
NLBNPIT303I6,Allianz Assicurazioni Generali Intesa Sanpaolo Unicredit,100.89,0.00,EUR,2026-05-07-10-46-44
NLBNPIT303S5,AMD Dell Meta,104.63,0.00,EUR,2026-05-07-10-46-44
NLBNPIT303E5,Banca MPS Santander,100.44,0.00,EUR,2026-05-07-10-46-44
NLBNPIT30150,Coherent Leonardo Thales Premi Fissi Cash Collect Callable,103.44,0.00,EUR,2026-05-07-10-46-44
NLBNPIT2TQK4,Boeing Dassault Leonardo Rheinmetall Premi Fissi Cash Collect,79.53,0.00,EUR,2026-05-07-10-46-44
NLBNPIT303D7,Bper Intesa Sanpaolo,100.99,0.00,EUR,2026-05-07-10-46-44
NLBNPIT2HHH4,ERG Ferrari Leonardo Moncler Premi Fissi Cash Collect,94.81,0.00,EUR,2026-05-07-10-46-44
NLBNPIT2QDD3,Amazon Dell Fortinet Oracle,90.11,0.00,EUR,2026-05-07-10-46-44
NLBNPIT302V1,Unicredit Bper Intesa Sanpaolo,107.22,0.00,EUR,2026-05-07-10-46-44
NLBNPIT30325,Eni Generali Poste Italiane Unicredit Protection Booster Cash Collect,102.68,0.00,EUR,2026-05-07-10-46-44
NLBNPIT300U7,Palantir Technologies Step-Down Cash Collect,93.34,0.00,EUR,2026-05-07-10-46-44
NLBNPIT302W9,Intesa Sanpaolo Unicredit,106.18,0.00,EUR,2026-05-07-10-46-44
NLBNPIT30333,Enel Leonardo Moncler Snam Protection Booster Cash Collect,96.19,0.00,EUR,2026-05-07-10-46-44
NLBNPIT30374,Boeing Rheinmetall Leonardo Thales,99.13,0.00,EUR,2026-05-07-10-46-44
NLBNPIT303A3,Nvidia Intel Tesla Meta,110.77,0.00,EUR,2026-05-07-10-46-44
NLBNPIT30382,BP PLC Equinor Repsol TotalEnergies Protection Booster Cash Collect,91.18,0.00,EUR,2026-05-07-10-46-44
NLBNPIT30309,Banca MPS BBVA Caixabank Societe Generale Protection Booster Cash Collect,108.42,0.00,EUR,2026-05-07-10-46-44
NLBNPIT2T027,Palantir Tesla Nvidia Booster Cash Collect,97.47,0.00,EUR,2026-05-07-10-46-44
NLBNPIT302Y5,Banca MPS Banco BPM Bper Banca Unicredit Protection Booster Cash Collect,110.17,0.00,EUR,2026-05-07-10-46-44
NLBNPIT302Z2,Intesa Sanpaolo Santander The Goldman Sachs Morgan Stanley,106.37,0.00,EUR,2026-05-07-10-46-44
NLBNPIT30341,Generali Swiss Re Scor Unipol Assicurazioni Protection Booster Cash Collect,105.17,0.00,EUR,2026-05-07-10-46-44
