isin,name,ask,bid,currency,dt
NLBNPIT302V1,Unicredit Bper Intesa Sanpaolo,105.20,0.00,EUR,2026-04-13-21-44-24
NLBNPIT302Y5,Banca MPS Banco BPM Bper Banca Unicredit Protection Booster Cash Collect,106.66,0.00,EUR,2026-04-13-21-44-24
NLBNPIT300T9,Tesla,93.26,0.00,EUR,2026-04-13-21-44-24
NLBNPIT300H4,Stellantis,85.61,0.00,EUR,2026-04-13-21-44-24
NLBNPIT21TB7,Step-Down Cash Collect Kla Corp C3.AI Uipath,49.61,0.00,EUR,2026-04-13-21-44-24
NLBNPIT30309,Banca MPS BBVA Caixabank Societe Generale Protection Booster Cash Collect,105.64,0.00,EUR,2026-04-13-21-44-24
NLBNPIT2HHH4,ERG Ferrari Leonardo Moncler Premi Fissi Cash Collect,95.11,0.00,EUR,2026-04-13-21-44-24
NLBNPIT30333,Enel Leonardo Moncler Snam Protection Booster Cash Collect,97.11,0.00,EUR,2026-04-13-21-44-24
NLBNPIT303A3,Nvidia Intel Tesla Meta,104.70,0.00,EUR,2026-04-13-21-44-24
NLBNPIT30358,A2A Engie Veolia E.on,102.47,0.00,EUR,2026-04-13-21-44-24
NLBNPIT30325,Eni Generali Poste Italiane Unicredit Protection Booster Cash Collect,102.52,0.00,EUR,2026-04-13-21-44-24
NLBNPIT2TQK4,Boeing Dassault Leonardo Rheinmetall Premi Fissi Cash Collect,76.63,0.00,EUR,2026-04-13-21-44-24
NLBNPIT2QDD3,Amazon Dell Fortinet Oracle,77.91,0.00,EUR,2026-04-13-21-44-24
NLBNPIT30150,Coherent Leonardo Thales Premi Fissi Cash Collect Callable,101.92,0.00,EUR,2026-04-13-21-44-24
NLBNPIT302W9,Intesa Sanpaolo Unicredit,104.04,0.00,EUR,2026-04-13-21-44-24
NLBNPIT2T027,Palantir Tesla Nvidia Booster Cash Collect,96.02,0.00,EUR,2026-04-13-21-44-24
NLBNPIT30374,Boeing Rheinmetall Leonardo Thales,99.83,0.00,EUR,2026-04-13-21-44-24
NLBNPIT302Z2,Intesa Sanpaolo Santander The Goldman Sachs Morgan Stanley,104.26,0.00,EUR,2026-04-13-21-44-24
NLBNPIT30382,BP PLC Equinor Repsol TotalEnergies Protection Booster Cash Collect,94.81,0.00,EUR,2026-04-13-21-44-24
NLBNPIT30341,Generali Swiss Re Scor Unipol Assicurazioni Protection Booster Cash Collect,103.05,0.00,EUR,2026-04-13-21-44-24
