isin;name;ask;bid;currency;dt
NLBNPIT304D5;Certificato NLBNPIT304D5 - Coupon: -% (-% p.a.) - Barrier: -%;103.82;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303V9;Certificato NLBNPIT303V9 - Coupon: -% (-% p.a.) - Barrier: -%;85.91;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303G0;Certificato NLBNPIT303G0 - Coupon: -% (-% p.a.) - Barrier: -%;102.88;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304E3;Certificato NLBNPIT304E3 - Coupon: -% (-% p.a.) - Barrier: -%;102.83;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304S3;Bayer | Eli Lilly | Merck & co - Coupon: 1.15% (13.80% p.a.) - Barrier: 55%;106.06;0.00;EUR;2026-07-07-09-54-58
NLBNPIT305C4;Certificato NLBNPIT305C4 - Coupon: -% (-% p.a.) - Barrier: -%;98.12;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304V7;Certificato NLBNPIT304V7 - Coupon: -% (-% p.a.) - Barrier: -%;102.16;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303N6;Certificato NLBNPIT303N6 - Coupon: -% (-% p.a.) - Barrier: -%;90.05;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303C9;Certificato NLBNPIT303C9 - Coupon: -% (-% p.a.) - Barrier: -%;103.31;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304Z8;EURO STOXX 50®, FTSE MIB Index, Kospi 200, Nikkei 225 Memory Cash Collect - Coupon: 1.30% (-% p.a.) - Barrier: 50%;99.02;0.00;EUR;2026-07-07-09-54-58
NLBNPIT300T9;Tesla - Coupon: 1.12% (13.44% p.a.) - Barrier: 60%;98.42;0.00;EUR;2026-07-07-09-54-58
NLBNPIT30549;Certificato NLBNPIT30549 - Coupon: -% (-% p.a.) - Barrier: -%;96.38;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304L8;Certificato NLBNPIT304L8 - Coupon: -% (-% p.a.) - Barrier: -%;100.41;0.00;EUR;2026-07-07-09-54-58
NLBNPIT305E0;Certificato NLBNPIT305E0 - Coupon: -% (-% p.a.) - Barrier: -%;101.63;0.00;EUR;2026-07-07-09-54-58
NLBNPIT302W9;Certificato NLBNPIT302W9 - Coupon: -% (-% p.a.) - Barrier: -%;103.90;0.00;EUR;2026-07-07-09-54-58
NLBNPIT30374;Certificato NLBNPIT30374 - Coupon: -% (-% p.a.) - Barrier: -%;91.06;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303P1;Certificato NLBNPIT303P1 - Coupon: -% (-% p.a.) - Barrier: -%;103.38;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304W5;Certificato NLBNPIT304W5 - Coupon: -% (-% p.a.) - Barrier: -%;101.59;0.00;EUR;2026-07-07-09-54-58
NLBNPIT30622;Certificato NLBNPIT30622 - Coupon: -% (-% p.a.) - Barrier: -%;991.60;0.00;EUR;2026-07-07-09-54-58
NLBNPIT300U7;Certificato NLBNPIT300U7 - Coupon: -% (-% p.a.) - Barrier: -%;90.87;0.00;EUR;2026-07-07-09-54-58
NLBNPIT2T027;Nvidia | Palantir Technologies | Tesla - Coupon: 1.35% (16.20% p.a.) - Barrier: 45%;95.32;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304Y1;Certificato NLBNPIT304Y1 - Coupon: -% (-% p.a.) - Barrier: -%;102.90;0.00;EUR;2026-07-07-09-54-58
NLBNPIT302Y5;Banca Monte dei Paschi di Siena | Banco BPM | BPER Banca | Unicredit - Coupon: 15.60% p.a. - Barrier: 45.60%;112.14;0.00;EUR;2026-07-07-09-54-58
NLBNPIT30325;Certificato NLBNPIT30325 - Coupon: -% (-% p.a.) - Barrier: -%;99.97;0.00;EUR;2026-07-07-09-54-58
NLBNPIT305D2;Infineon Intel Micron - Low Barrier Cash Collect - Coupon: 2.15% (-% p.a.) - Barrier: 30%;94.10;0.00;EUR;2026-07-07-09-54-58
NLBNPIT300H4;Stellantis - Coupon: 0.90% (10.80% p.a.) - Barrier: 60%;68.71;0.00;EUR;2026-07-07-09-54-58
NLBNPIT302V1;Certificato NLBNPIT302V1 - Coupon: -% (-% p.a.) - Barrier: -%;108.99;0.00;EUR;2026-07-07-09-54-58
NLBNPIT2TQK4;Boeing, Dassault, Leonardo, Rheinmetall - Premi Fissi Cash Collect - Coupon: -% (-% p.a.) - Barrier: -%;66.02;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304K0;Certificato NLBNPIT304K0 - Coupon: -% (-% p.a.) - Barrier: -%;99.55;0.00;EUR;2026-07-07-09-54-58
NLBNPIT30358;Certificato NLBNPIT30358 - Coupon: -% (-% p.a.) - Barrier: -%;107.66;0.00;EUR;2026-07-07-09-54-58
NLBNPIT30333;Certificato NLBNPIT30333 - Coupon: -% (-% p.a.) - Barrier: -%;96.59;0.00;EUR;2026-07-07-09-54-58
NLBNPIT30150;Certificato NLBNPIT30150 - Coupon: -% (-% p.a.) - Barrier: -%;94.74;0.00;EUR;2026-07-07-09-54-58
NLBNPIT305Z5;Certificato NLBNPIT305Z5 - Coupon: -% (-% p.a.) - Barrier: -%;996.93;0.00;EUR;2026-07-07-09-54-58
NLBNPIT305I1;Certificato NLBNPIT305I1 - Coupon: -% (-% p.a.) - Barrier: -%;100.59;0.00;EUR;2026-07-07-09-54-58
NLBNPIT2HHH4;ERG | Ferrari | Leonardo | Moncler - Coupon: 1.20% (14.00% p.a.) - Barrier: 55%;97.01;0.00;EUR;2026-07-07-09-54-58
NLBNPIT30309;Banca Monte dei Paschi di Siena | BBVA | CaixaBank | Société Générale - Coupon: 12.60% p.a. - Barrier: 50.51%;111.35;0.00;EUR;2026-07-07-09-54-58
NLBNPIT21T57;Certificato NLBNPIT21T57 - Coupon: -% (-% p.a.) - Barrier: -%;93.61;0.00;EUR;2026-07-07-09-54-58
NLBNPIT300C5;Certificato NLBNPIT300C5 - Coupon: -% (-% p.a.) - Barrier: -%;103.72;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304M6;Certificato NLBNPIT304M6 - Coupon: -% (-% p.a.) - Barrier: -%;101.33;0.00;EUR;2026-07-07-09-54-58
NLBNPIT2EPV5;Certificato NLBNPIT2EPV5 - Coupon: -% (-% p.a.) - Barrier: -%;95.77;0.00;EUR;2026-07-07-09-54-58
NLBNPIT305N1;Certificato NLBNPIT305N1 - Coupon: -% (-% p.a.) - Barrier: -%;100.85;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304P9;Certificato NLBNPIT304P9 - Coupon: -% (-% p.a.) - Barrier: -%;99.94;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304X3;Certificato NLBNPIT304X3 - Coupon: -% (-% p.a.) - Barrier: -%;101.92;0.00;EUR;2026-07-07-09-54-58
NLBNPIT30382;Certificato NLBNPIT30382 - Coupon: -% (-% p.a.) - Barrier: -%;89.98;0.00;EUR;2026-07-07-09-54-58
NLBNPIT305H3;Certificato NLBNPIT305H3 - Coupon: -% (-% p.a.) - Barrier: -%;100.77;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304J2;Enel | Poste Italiane | Leonardo - Coupon: 0.98% (11.76% p.a.) - Barrier: 60%;103.89;0.00;EUR;2026-07-07-09-54-58
NLBNPIT305R2;Certificato NLBNPIT305R2 - Coupon: -% (-% p.a.) - Barrier: -%;100.55;0.00;EUR;2026-07-07-09-54-58
NLBNPIT30614;SpaceX Tesla - Premi Fissi Cash Collect - Coupon: 1.09% (-% p.a.) - Barrier: 40%;1.00215;0.00;EUR;2026-07-07-09-54-58
NLBNPIT305X0;Certificato NLBNPIT305X0 - Coupon: -% (-% p.a.) - Barrier: -%;999.36;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303A3;Certificato NLBNPIT303A3 - Coupon: -% (-% p.a.) - Barrier: -%;111.83;0.00;EUR;2026-07-07-09-54-58
NLBNPIT305S0;Broadcom Intel Nvidia Oracle - Coupon: 1.89% (-% p.a.) - Barrier: 45%;93.88;0.00;EUR;2026-07-07-09-54-58
NLBNPIT302Z2;Certificato NLBNPIT302Z2 - Coupon: -% (-% p.a.) - Barrier: -%;106.38;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304N4;Certificato NLBNPIT304N4 - Coupon: -% (-% p.a.) - Barrier: -%;97.51;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303E5;Certificato NLBNPIT303E5 - Coupon: -% (-% p.a.) - Barrier: -%;104.28;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304G8;Certificato NLBNPIT304G8 - Coupon: -% (-% p.a.) - Barrier: -%;105.29;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303S5;Certificato NLBNPIT303S5 - Coupon: -% (-% p.a.) - Barrier: -%;103.39;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303Y3;Certificato NLBNPIT303Y3 - Coupon: -% (-% p.a.) - Barrier: -%;82.87;0.00;EUR;2026-07-07-09-54-58
NLBNPIT305L5;Certificato NLBNPIT305L5 - Coupon: -% (-% p.a.) - Barrier: -%;102.12;0.00;EUR;2026-07-07-09-54-58
NLBNPIT21TB7;C3.AI | KLA | UiPath - Coupon: 1.30% (15.60% p.a.) - Barrier: 40%;54.75;0.00;EUR;2026-07-07-09-54-58
NLBNPIT2SP93;Advanced Micro Devices, Google, Amazon, Meta - Premi Fissi Cash Collect - Coupon: 0.95% (-% p.a.) - Barrier: 55%;97.66;0.00;EUR;2026-07-07-09-54-58
NLBNPIT2XBR3;Certificato NLBNPIT2XBR3 - Coupon: -% (-% p.a.) - Barrier: -%;97.56;0.00;EUR;2026-07-07-09-54-58
NLBNPIT30507;EURO STOXX 50®, S&P 500®, iShares MSCI China ETF, iShares MSCI South Korea - Memory Cash Collect - Coupon: 1.40% (-% p.a.) - Barrier: 60%;96.67;0.00;EUR;2026-07-07-09-54-58
NLBNPIT304Q7;Alphabet | Microsoft | C3.AI - Coupon: 1.6% (19.80% p.a.) - Barrier: 45%;98.88;0.00;EUR;2026-07-07-09-54-58
NLBNPIT30341;Certificato NLBNPIT30341 - Coupon: -% (-% p.a.) - Barrier: -%;108.19;0.00;EUR;2026-07-07-09-54-58
NLBNPIT305V4;EchoStar Intuitive Machines Planet Labs - Enjoy Cash Collect - Coupon: 2.05% (-% p.a.) - Barrier: 30%;100.17;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303D7;Certificato NLBNPIT303D7 - Coupon: -% (-% p.a.) - Barrier: -%;102.04;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303I6;Certificato NLBNPIT303I6 - Coupon: -% (-% p.a.) - Barrier: -%;104.26;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303W7;Certificato NLBNPIT303W7 - Coupon: -% (-% p.a.) - Barrier: -%;89.03;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303M8;Certificato NLBNPIT303M8 - Coupon: -% (-% p.a.) - Barrier: -%;104.33;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303F2;Certificato NLBNPIT303F2 - Coupon: -% (-% p.a.) - Barrier: -%;104.50;0.00;EUR;2026-07-07-09-54-58
NLBNPIT303O4;Certificato NLBNPIT303O4 - Coupon: -% (-% p.a.) - Barrier: -%;98.62;0.00;EUR;2026-07-07-09-54-58
