isin,name,ask,bid,currency,dt
NLBNPIT303N6,Coherent Leonardo Rheinmetall,101.69,0.00,EUR,2026-05-13-10-48-39
NLBNPIT30333,Enel Leonardo Moncler Snam Protection Booster Cash Collect,91.37,0.00,EUR,2026-05-13-10-48-39
NLBNPIT2XBR3,BPM Kering Moncler STM Premi Fissi Cash Collect 15% 11-06,94.97,0.00,EUR,2026-05-13-10-48-39
NLBNPIT303P1,BP PLC TotalEnergies Equinor Repsol,101.18,0.00,EUR,2026-05-13-10-48-39
NLBNPIT303O4,Banca MPS Siemens Energy Stellantis STMicroelectronics,101.24,0.00,EUR,2026-05-13-10-48-39
NLBNPIT2T027,Palantir Tesla Nvidia Booster Cash Collect,97.91,0.00,EUR,2026-05-13-10-48-39
NLBNPIT303S5,AMD Dell Meta,104.87,0.00,EUR,2026-05-13-10-48-39
NLBNPIT303E5,Banca MPS Santander,100.03,0.00,EUR,2026-05-13-10-48-39
NLBNPIT302V1,Unicredit Bper Intesa Sanpaolo,106.73,0.00,EUR,2026-05-13-10-48-39
NLBNPIT303C9,Unicredit Intesa Sanpaolo Banco BPM,100.62,0.00,EUR,2026-05-13-10-48-39
NLBNPIT300H4,Stellantis,80.44,0.00,EUR,2026-05-13-10-48-39
NLBNPIT30358,A2A Engie Veolia E.on,103.03,0.00,EUR,2026-05-13-10-48-39
NLBNPIT2HHH4,ERG Ferrari Leonardo Moncler Premi Fissi Cash Collect 14% 13-05,91.24,0.00,EUR,2026-05-13-10-48-39
NLBNPIT302W9,Intesa Sanpaolo Unicredit,105.94,0.00,EUR,2026-05-13-10-48-39
NLBNPIT21T57,Mercedes Ford Tesla Step-Down Cash Collect,96.50,0.00,EUR,2026-05-13-10-48-39
NLBNPIT30150,Coherent Leonardo Thales Premi Fissi Cash Collect Callable,103.60,0.00,EUR,2026-05-13-10-48-39
NLBNPIT2QDD3,Amazon Dell Fortinet Oracle,89.07,0.00,EUR,2026-05-13-10-48-39
NLBNPIT300U7,Palantir Technologies Step-Down Cash Collect,93.66,0.00,EUR,2026-05-13-10-48-39
NLBNPIT303D7,Bper Intesa Sanpaolo,99.73,0.00,EUR,2026-05-13-10-48-39
NLBNPIT303G0,Banca MPS Banco BPM Bper Unicredit,101.11,0.00,EUR,2026-05-13-10-48-39
NLBNPIT303A3,Nvidia Intel Tesla Meta,111.65,0.00,EUR,2026-05-13-10-48-39
NLBNPIT300T9,Tesla Step-Down Cash Collect,99.77,0.00,EUR,2026-05-13-10-48-39
NLBNPIT30382,BP PLC Equinor Repsol TotalEnergies Protection Booster Cash Collect,94.40,0.00,EUR,2026-05-13-10-48-39
NLBNPIT303I6,Allianz Assicurazioni Generali Intesa Sanpaolo Unicredit,100.23,0.00,EUR,2026-05-13-10-48-39
NLBNPIT2EPV5,Amazon Meta MSFT Nvidia Premi Fissi Cash Collect 11% 13-05,97.74,0.00,EUR,2026-05-13-10-48-39
NLBNPIT302Y5,Banca MPS Banco BPM Bper Banca Unicredit Protection Booster Cash Collect,110.45,0.00,EUR,2026-05-13-10-48-39
NLBNPIT30309,Banca MPS BBVA Caixabank Societe Generale Protection Booster Cash Collect,107.64,0.00,EUR,2026-05-13-10-48-39
NLBNPIT303M8,Assicurazioni Generali Unipol Zurich Insurance Axa,99.82,0.00,EUR,2026-05-13-10-48-39
NLBNPIT2SP93,AMD Google Amazon Meta Premi Fissi Cash Collect 11% 03-06,98.63,0.00,EUR,2026-05-13-10-48-39
NLBNPIT21TB7,Step-Down Cash Collect Kla Corp C3.AI Uipath,51.53,0.00,EUR,2026-05-13-10-48-39
NLBNPIT30341,Generali Swiss Re Scor Unipol Assicurazioni Protection Booster Cash Collect,104.67,0.00,EUR,2026-05-13-10-48-39
NLBNPIT302Z2,Intesa Sanpaolo Santander The Goldman Sachs Morgan Stanley,105.33,0.00,EUR,2026-05-13-10-48-39
NLBNPIT2TQK4,Boeing Dassault Leonardo Rheinmetall Premi Fissi Cash Collect,70.83,0.00,EUR,2026-05-13-10-48-39
NLBNPIT30325,Eni Generali Poste Italiane Unicredit Protection Booster Cash Collect,105.62,0.00,EUR,2026-05-13-10-48-39
NLBNPIT30374,Boeing Rheinmetall Leonardo Thales,89.31,0.00,EUR,2026-05-13-10-48-39
NLBNPIT303F2,Azimut Banca MPS Fineco Unicredit,100.33,0.00,EUR,2026-05-13-10-48-39
