isin;name;ask;bid;currency;dt
NLBNPIT30549;Certificato NLBNPIT30549 - Coupon: -% (-% p.a.) - Barrier: -%;89.51;0.00;EUR;2026-08-04-15-08-54
NLBNPIT300U7;Certificato NLBNPIT300U7 - Coupon: -% (-% p.a.) - Barrier: -%;96.95;0.00;EUR;2026-08-04-15-08-54
NLBNPIT2HHH4;ERG | Ferrari | Leonardo | Moncler - Coupon: 1.20% (14.00% p.a.) - Barrier: 55%;97.99;0.00;EUR;2026-08-04-15-08-54
NLBNPIT2T027;Nvidia | Palantir Technologies | Tesla - Coupon: 1.35% (16.20% p.a.) - Barrier: 45%;98.47;0.00;EUR;2026-08-04-15-08-54
NLBNPIT303M8;Certificato NLBNPIT303M8 - Coupon: -% (-% p.a.) - Barrier: -%;104.37;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304V7;EURO STOXX® Banks, Nasdaq 100 Index, Nikkei 225, S&P 500 - Coupon: -% (-% p.a.) - Barrier: -%;102.40;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304W5;EURO STOXX® Banks, EURO STOXX® (Utilities), ESTX (Technology), ESTX (Insurance)  - Coupon: 1% (-% p.a.) - Barrier: 60%;101.21;0.00;EUR;2026-08-04-15-08-54
NLBNPIT303F2;Certificato NLBNPIT303F2 - Coupon: -% (-% p.a.) - Barrier: -%;105.61;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304N4;ASML Holdings | Stellantis | CommerzBank | Siemens Energy - Coupon: 1.65% (-% p.a.) - Barrier: 45%;97.88;0.00;EUR;2026-08-04-15-08-54
NLBNPIT2TQK4;Boeing, Dassault, Leonardo, Rheinmetall - Premi Fissi Cash Collect - Coupon: -% (-% p.a.) - Barrier: -%;71.80;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304W5;EURO STOXX® Banks, EURO STOXX® (Utilities), ESTX (Technology), ESTX (Insurance) Memory Cash Collect - Coupon: 1% - Barrier: 60%;101.21;0.00;EUR;2026-08-04-15-08-54
NLBNPIT305H3;Certificato NLBNPIT305H3 - Coupon: -% (-% p.a.) - Barrier: -%;104.10;0.00;EUR;2026-08-04-15-08-54
NLBNPIT30325;Certificato NLBNPIT30325 - Coupon: -% (-% p.a.) - Barrier: -%;103.60;0.00;EUR;2026-08-04-15-08-54
NLBNPIT303Y3;Certificato NLBNPIT303Y3 - Coupon: -% (-% p.a.) - Barrier: -%;87.33;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304Q7;Alphabet | Microsoft | C3.AI - Coupon: 1.6% (19.80% p.a.) - Barrier: 45%;101.56;0.00;EUR;2026-08-04-15-08-54
NLBNPIT30622;SpaceMobile, Planet Labs, SpaceX - Coupon: 1.7% (20.4% p.a.) - Barrier: 40%;959.00;0.00;EUR;2026-08-04-15-08-54
NLBNPIT21T57;Mercedes, Ford, Tesla Step-Down Cash Collect - Coupon: 1.2% (-% p.a.) - Barrier: 50%;96.58;0.00;EUR;2026-08-04-15-08-54
NLBNPIT30614;SpaceX Tesla - Premi Fissi Cash Collect - Coupon: 1.09% (-% p.a.) - Barrier: 40%;948.10;0.00;EUR;2026-08-04-15-08-54
NLBNPIT1R379;CAC 40 ESG, EURO STOXX 50 ESG Memory Cash Collect - Coupon: 1.4% (5.6% p.a.) - Barrier: 70%;99.73;0.00;EUR;2026-08-04-15-08-54
NLBNPIT30309;Banca Monte dei Paschi di Siena | BBVA | CaixaBank | Société Générale - Coupon: 12.60% p.a. - Barrier: 50.51%;108.58;0.00;EUR;2026-08-04-15-08-54
NLBNPIT303D7;Certificato NLBNPIT303D7 - Coupon: -% (-% p.a.) - Barrier: -%;102.70;0.00;EUR;2026-08-04-15-08-54
NLBNPIT302W9;Certificato NLBNPIT302W9 - Coupon: -% (-% p.a.) - Barrier: -%;102.77;0.00;EUR;2026-08-04-15-08-54
NLBNPIT30507;EURO STOXX 50®, S&P 500®, iShares MSCI China ETF, iShares MSCI South Korea - Memory Cash Collect - Coupon: 1.40% (-% p.a.) - Barrier: 60%;98.03;0.00;EUR;2026-08-04-15-08-54
NLBNPIT303I6;Certificato NLBNPIT303I6 - Coupon: -% (-% p.a.) - Barrier: -%;105.36;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304L8;Certificato NLBNPIT304L8 - Coupon: -% (-% p.a.) - Barrier: -%;102.33;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304S3;Bayer | Eli Lilly | Merck & co - Coupon: 1.15% (13.80% p.a.) - Barrier: 55%;104.69;0.00;EUR;2026-08-04-15-08-54
NLBNPIT30374;Certificato NLBNPIT30374 - Coupon: -% (-% p.a.) - Barrier: -%;93.52;0.00;EUR;2026-08-04-15-08-54
NLBNPIT303C9;Certificato NLBNPIT303C9 - Coupon: -% (-% p.a.) - Barrier: -%;103.72;0.00;EUR;2026-08-04-15-08-54
NLBNPIT21TB7;C3.AI | KLA | UiPath - Coupon: 1.30% (15.60% p.a.) - Barrier: 40%;59.43;0.00;EUR;2026-08-04-15-08-54
NLBNPIT30341;Certificato NLBNPIT30341 - Coupon: -% (-% p.a.) - Barrier: -%;108.33;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304P9;Certificato NLBNPIT304P9 - Coupon: -% (-% p.a.) - Barrier: -%;97.90;0.00;EUR;2026-08-04-15-08-54
NLBNPIT30358;Certificato NLBNPIT30358 - Coupon: -% (-% p.a.) - Barrier: -%;108.68;0.00;EUR;2026-08-04-15-08-54
NLBNPIT305X0;SPACEX Protection Booster  - Coupon: 1% (12% p.a.) - Barrier: 40%;910.47;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304D5;Certificato NLBNPIT304D5 - Coupon: -% (-% p.a.) - Barrier: -%;105.30;0.00;EUR;2026-08-04-15-08-54
NLBNPIT303W7;Certificato NLBNPIT303W7 - Coupon: -% (-% p.a.) - Barrier: -%;90.75;0.00;EUR;2026-08-04-15-08-54
NLBNPIT303E5;Certificato NLBNPIT303E5 - Coupon: -% (-% p.a.) - Barrier: -%;103.95;0.00;EUR;2026-08-04-15-08-54
NLBNPIT305V4;EchoStar Intuitive Machines Planet Labs - Enjoy Cash Collect - Coupon: 2.05% (-% p.a.) - Barrier: 30%;87.63;0.00;EUR;2026-08-04-15-08-54
NLBNPIT302V1;Certificato NLBNPIT302V1 - Coupon: -% (-% p.a.) - Barrier: -%;103.36;0.00;EUR;2026-08-04-15-08-54
NLBNPIT303O4;Certificato NLBNPIT303O4 - Coupon: -% (-% p.a.) - Barrier: -%;96.33;0.00;EUR;2026-08-04-15-08-54
NLBNPIT305S0;Broadcom Intel Nvidia Oracle - Coupon: 1.89% (-% p.a.) - Barrier: 45%;90.12;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304K0;ERG, Fincantieri, Snam, STMicroelectronics - Coupon: 1.31% (-% p.a.) - Barrier: 50%;94.65;0.00;EUR;2026-08-04-15-08-54
NLBNPIT30333;Enel, Leonardo, Moncler, Snam Protection Booster - Coupon: 0.9% (-% p.a.) - Barrier: 55%;96.25;0.00;EUR;2026-08-04-15-08-54
NLBNPIT2XBR3;Certificato NLBNPIT2XBR3 - Coupon: -% (-% p.a.) - Barrier: -%;99.22;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304Y1;EURO STOXX® Banks, S&P 500 - Coupon: -% (-% p.a.) - Barrier: -%;102.93;0.00;EUR;2026-08-04-15-08-54
NLBNPIT303V9;Certificato NLBNPIT303V9 - Coupon: -% (-% p.a.) - Barrier: -%;90.53;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304X3;EURO STOXX 50®, FTSE MIB Index, S&P 500 - Coupon: 0.6% (-% p.a.) - Barrier: 65%;101.91;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304E3;Certificato NLBNPIT304E3 - Coupon: -% (-% p.a.) - Barrier: -%;104.48;0.00;EUR;2026-08-04-15-08-54
NLBNPIT30150;Certificato NLBNPIT30150 - Coupon: -% (-% p.a.) - Barrier: -%;94.64;0.00;EUR;2026-08-04-15-08-54
NLBNPIT300T9;Tesla - Coupon: 1.12% (13.44% p.a.) - Barrier: 60%;88.59;0.00;EUR;2026-08-04-15-08-54
XS3440592841;KOSPI 200, NASDAQ 100 Index, NIKKEI 225, ESTX (Technology) Memory Cash Collect - Coupon: 1.35% - Barrier: 50%;104.28;0.00;EUR;2026-08-04-15-08-54
NLBNPIT302Y5;Banca Monte dei Paschi di Siena | Banco BPM | BPER Banca | Unicredit - Coupon: 15.60% p.a. - Barrier: 45.60%;106.63;0.00;EUR;2026-08-04-15-08-54
NLBNPIT30382;BP PLC, Equinor, Repsol, TotalEnergies Protection - Coupon: 0.85% (-% p.a.) - Barrier: 60%;97.87;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304M6;Fincantieri, Rheinmetall, The Boeing Co - Coupon: 1.25% (-% p.a.) - Barrier: 55%;102.85;0.00;EUR;2026-08-04-15-08-54
NLBNPIT305L5;Certificato NLBNPIT305L5 - Coupon: -% (-% p.a.) - Barrier: -%;103.33;0.00;EUR;2026-08-04-15-08-54
NLBNPIT302Z2;Certificato NLBNPIT302Z2 - Coupon: -% (-% p.a.) - Barrier: -%;105.53;0.00;EUR;2026-08-04-15-08-54
NLBNPIT2SP93;Advanced Micro Devices, Google, Amazon, Meta - Premi Fissi Cash Collect - Coupon: 0.95% (-% p.a.) - Barrier: 55%;97.36;0.00;EUR;2026-08-04-15-08-54
NLBNPIT303P1;Certificato NLBNPIT303P1 - Coupon: -% (-% p.a.) - Barrier: -%;102.04;0.00;EUR;2026-08-04-15-08-54
NLBNPIT305N1;Google, C3.ai, Meta Enjoy - Coupon: 1.5% (18% p.a.) - Barrier: 50%;103.11;0.00;EUR;2026-08-04-15-08-54
XS3439538102;Euro Stoxx Banks, Nasdaq 100, Nikkei 225, S&P 500 Memory Cash Collect - Coupon: 0.95% - Barrier: 60%;102.53;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304G8;Certificato NLBNPIT304G8 - Coupon: -% (-% p.a.) - Barrier: -%;106.77;0.00;EUR;2026-08-04-15-08-54
NLBNPIT305C4;Banco BPM, Siemens Energy, Stellantis, STMicroelectronics - Coupon: 1.65% (-% p.a.) - Barrier: 35%;94.76;0.00;EUR;2026-08-04-15-08-54
NLBNPIT300C5;Certificato NLBNPIT300C5 - Coupon: -% (-% p.a.) - Barrier: -%;103.75;0.00;EUR;2026-08-04-15-08-54
NLBNPIT305Z5;SpaceX - Coupon: 0.97% (11.64% p.a.) - Barrier: 40%;934.34;0.00;EUR;2026-08-04-15-08-54
NLBNPIT304J2;Enel | Poste Italiane | Leonardo - Coupon: 0.98% (11.76% p.a.) - Barrier: 60%;103.51;0.00;EUR;2026-08-04-15-08-54
NLBNPIT305I1;Generali, Enel, Eni, Poste Italiane Enjoy - Coupon: 0.85% (-% p.a.) - Barrier: 60%;101.86;0.00;EUR;2026-08-04-15-08-54
NLBNPIT303S5;Certificato NLBNPIT303S5 - Coupon: -% (-% p.a.) - Barrier: -%;102.99;0.00;EUR;2026-08-04-15-08-54
NLBNPIT300H4;Stellantis - Coupon: 0.90% (10.80% p.a.) - Barrier: 60%;67.93;0.00;EUR;2026-08-04-15-08-54
NLBNPIT303A3;Certificato NLBNPIT303A3 - Coupon: -% (-% p.a.) - Barrier: -%;103.50;0.00;EUR;2026-08-04-15-08-54
