isin,name,ask,bid,currency,dt
NLBNPIT302W9,Intesa Sanpaolo Unicredit,105.69,0.00,EUR,2026-04-08-23-10-58
NLBNPIT302V1,Unicredit Bper Intesa Sanpaolo,106.55,0.00,EUR,2026-04-08-23-10-58
NLBNPIT302Y5,Banca MPS Banco BPM Bper Banca Unicredit Protection Booster Cash Collect,107.41,0.00,EUR,2026-04-08-23-10-58
NLBNPIT300H4,Stellantis,85.60,0.00,EUR,2026-04-08-23-10-58
NLBNPIT2T027,Palantir Tesla Nvidia Booster Cash Collect,98.06,0.00,EUR,2026-04-08-23-10-58
NLBNPIT300T9,Tesla,92.11,0.00,EUR,2026-04-08-23-10-58
NLBNPIT30325,Eni Generali Poste Italiane Unicredit Protection Booster Cash Collect,103.43,0.00,EUR,2026-04-08-23-10-58
NLBNPIT303A3,Nvidia Intel Tesla Meta,102.02,0.00,EUR,2026-04-08-23-10-58
NLBNPIT2HHH4,ERG Ferrari Leonardo Moncler Premi Fissi Cash Collect,95.53,0.00,EUR,2026-04-08-23-10-58
NLBNPIT21TB7,Step-Down Cash Collect Kla Corp C3.AI Uipath,54.27,0.00,EUR,2026-04-08-23-10-58
NLBNPIT2TQK4,Boeing Dassault Leonardo Rheinmetall Premi Fissi Cash Collect,78.19,0.00,EUR,2026-04-08-23-10-58
NLBNPIT30341,Generali Swiss Re Scor Unipol Assicurazioni Protection Booster Cash Collect,103.97,0.00,EUR,2026-04-08-23-10-58
NLBNPIT30382,BP PLC Equinor Repsol TotalEnergies Protection Booster Cash Collect,94.89,0.00,EUR,2026-04-08-23-10-58
NLBNPIT30358,A2A Engie Veolia E.on,103.98,0.00,EUR,2026-04-08-23-10-58
NLBNPIT30374,Boeing Rheinmetall Leonardo Thales,100.28,0.00,EUR,2026-04-08-23-10-58
NLBNPIT2QDD3,Amazon Dell Fortinet Oracle,76.99,0.00,EUR,2026-04-08-23-10-58
NLBNPIT302Z2,Intesa Sanpaolo Santander The Goldman Sachs Morgan Stanley,105.70,0.00,EUR,2026-04-08-23-10-58
NLBNPIT30333,Enel Leonardo Moncler Snam Protection Booster Cash Collect,98.98,0.00,EUR,2026-04-08-23-10-58
NLBNPIT30309,Banca MPS BBVA Caixabank Societe Generale Protection Booster Cash Collect,106.94,0.00,EUR,2026-04-08-23-10-58
