isin;name;ask_old;ask_new;diff_percent;flag
NLBNPIT300U7;Certificato NLBNPIT300U7 - Coupon: -% (-% p.a.) - Barrier: -%;89.67;89.54;-0.14%;-
NLBNPIT304E3;Certificato NLBNPIT304E3 - Coupon: -% (-% p.a.) - Barrier: -%;101.93;102.21;0.27%;+
NLBNPIT2SP93;Certificato NLBNPIT2SP93 - Coupon: -% (-% p.a.) - Barrier: -%;98.3;97.19;-1.13%;-
NLBNPIT30325;Certificato NLBNPIT30325 - Coupon: -% (-% p.a.) - Barrier: -%;99.15;99.35;0.20%;+
NLBNPIT304D5;Certificato NLBNPIT304D5 - Coupon: -% (-% p.a.) - Barrier: -%;103.01;103.27;0.25%;+
NLBNPIT30614;SpaceX Tesla - Premi Fissi Cash Collect - Coupon: 1.09% (-% p.a.) - Barrier: 40%;1;1;0.00%;+
NLBNPIT303V9;Certificato NLBNPIT303V9 - Coupon: -% (-% p.a.) - Barrier: -%;84.55;85.3;0.89%;+
NLBNPIT30507;EURO STOXX 50®, S&P 500®, iShares MSCI China ETF, iShares MSCI South Korea - Memory Cash Collect - Coupon: 1.40% (-% p.a.) - Barrier: 60%;95.35;95.19;-0.17%;-
NLBNPIT305I1;Certificato NLBNPIT305I1 - Coupon: -% (-% p.a.) - Barrier: -%;99.86;100.09;0.23%;+
NLBNPIT303P1;Certificato NLBNPIT303P1 - Coupon: -% (-% p.a.) - Barrier: -%;102.1;103.6;1.47%;+
NLBNPIT304N4;Certificato NLBNPIT304N4 - Coupon: -% (-% p.a.) - Barrier: -%;97.23;97.31;0.08%;+
NLBNPIT305X0;Certificato NLBNPIT305X0 - Coupon: -% (-% p.a.) - Barrier: -%;1;1;0.00%;+
NLBNPIT303D7;Certificato NLBNPIT303D7 - Coupon: -% (-% p.a.) - Barrier: -%;101.38;101.7;0.32%;+
NLBNPIT30549;Certificato NLBNPIT30549 - Coupon: -% (-% p.a.) - Barrier: -%;99.37;98.98;-0.39%;-
NLBNPIT305H3;Certificato NLBNPIT305H3 - Coupon: -% (-% p.a.) - Barrier: -%;99.47;99.98;0.51%;+
NLBNPIT300C5;Certificato NLBNPIT300C5 - Coupon: -% (-% p.a.) - Barrier: -%;103.4;103.54;0.14%;+
NLBNPIT30622;Certificato NLBNPIT30622 - Coupon: -% (-% p.a.) - Barrier: -%;1;1;0.00%;+
NLBNPIT305L5;Certificato NLBNPIT305L5 - Coupon: -% (-% p.a.) - Barrier: -%;101.01;101.46;0.45%;+
NLBNPIT304V7;Certificato NLBNPIT304V7 - Coupon: -% (-% p.a.) - Barrier: -%;101.77;101.77;0.00%;+
NLBNPIT305Z5;Certificato NLBNPIT305Z5 - Coupon: -% (-% p.a.) - Barrier: -%;1;1.005;0.50%;+
NLBNPIT30333;Certificato NLBNPIT30333 - Coupon: -% (-% p.a.) - Barrier: -%;93.65;94.88;1.31%;+
NLBNPIT305R2;Certificato NLBNPIT305R2 - Coupon: -% (-% p.a.) - Barrier: -%;99.19;99.42;0.23%;+
NLBNPIT304G8;Certificato NLBNPIT304G8 - Coupon: -% (-% p.a.) - Barrier: -%;104.75;105.07;0.31%;+
NLBNPIT305D2;Infineon Intel Micron - Low Barrier Cash Collect - Coupon: 2.15% (-% p.a.) - Barrier: 30%;96.03;95.66;-0.39%;-
